"","kfolds","trainingError","accuracy","trueNegatives","truePositives","falseNegatives","falsePositives","precision","recall","specificity","sensitivity"
"1",2,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"2",3,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"3",4,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"4",5,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"5",6,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"6",7,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"7",8,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"8",9,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"9",10,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"10",11,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"11",12,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"12",13,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"13",14,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"14",15,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"15",16,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"16",17,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"17",18,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"18",19,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"19",20,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"20",21,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"21",22,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"22",23,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"23",24,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"24",25,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
"25",26,0.162790697674419,0.837209302325581,98,10,15,6,0.625,0.4,0.4,0.942307692307692
