,kfolds,trainingError,accuracy,trueNegatives,truePositives,falseNegatives,falsePositives,precision,recall,specificity,sensitivity
1,2,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
2,3,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
3,4,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
4,5,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
5,6,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
6,7,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
7,8,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
8,9,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
9,10,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
10,11,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
11,12,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
12,13,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
13,14,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
14,15,0.139534884,0.860465116,96,15,10,8,0.652173913,0.6,0.6,0.923076923
15,16,0.124031008,0.875968992,99,14,11,5,0.736842105,0.56,0.56,0.951923077
16,17,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
17,18,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
18,19,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
19,20,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
20,21,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
21,22,0.124031008,0.875968992,99,14,11,5,0.736842105,0.56,0.56,0.951923077
22,23,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
23,24,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
24,25,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
25,26,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
26,27,0.139534884,0.860465116,96,15,10,8,0.652173913,0.6,0.6,0.923076923
27,28,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
28,29,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
29,30,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
30,31,0.124031008,0.875968992,99,14,11,5,0.736842105,0.56,0.56,0.951923077
31,32,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
32,33,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
33,34,0.124031008,0.875968992,99,14,11,5,0.736842105,0.56,0.56,0.951923077
34,35,0.139534884,0.860465116,96,15,10,8,0.652173913,0.6,0.6,0.923076923
35,36,0.131782946,0.868217054,99,13,12,5,0.722222222,0.52,0.52,0.951923077
36,37,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
37,38,0.131782946,0.868217054,99,13,12,5,0.722222222,0.52,0.52,0.951923077
38,39,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
39,40,0.131782946,0.868217054,96,16,9,8,0.666666667,0.64,0.64,0.923076923
40,41,0.139534884,0.860465116,96,15,10,8,0.652173913,0.6,0.6,0.923076923
41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
